帐号,客户 ID,有消费天数,总消费,2021/4/1,2021/4/2,2021/4/3,2021/4/4,2021/4/5,2021/4/6,2021/4/7,2021/4/8,2021/4/9,2021/4/10,2021/4/11,2021/4/12,2021/4/13,2021/4/14,2021/4/15,2021/4/16,2021/4/17,2021/4/18,2021/4/19,2021/4/20,2021/4/21,2021/4/22,2021/4/23,2021/4/24,2021/4/25,2021/4/26,2021/4/27,2021/4/28,2021/4/29,2021/4/30
KSGLDZKJGFYXGS(guo),6628851890,30,3495.21,131.22,88.24,64.56,36.66,147.46,124.83,108.22,148.77,93.21,103.28,63.96,126.85,99.88,123.88,89.84,112.37,67.62,78.24,105.1,182.59,181.17,164.9,127.82,80.01,136.53,174,150.91,157.96,102.83,122.3
Ksrjjxkjyxgs,1679088060,19,1899.99,,,,,,,,,,,,19.59,108.3,70.87,91.29,131.18,67.24,73.06,173.26,178.62,121.3,118.54,112.63,102.25,57.77,116.44,100.73,94.09,90.2,72.63
kybz-包装制品,5250326362,30,1631.16,66.94,20.93,17.26,17.53,35.63,38.19,41.52,63.37,47.08,41.42,49.87,54.3,77.46,142.2,83.65,57.1,29.26,54.84,58.57,86.14,62.3,50.9,34.54,73.97,22.42,52.45,40.38,64.99,96.11,49.84
Kywoo 3D,6009034460,6,1791.87,,,,,,,,,,,,,,,,,0.04,0.25,,,,,,,,,416.52,468.96,433.72,472.38
ladyde,3836237491,30,3079.89,108.21,124.17,102.03,120.11,61.49,99.29,92.97,74.48,169.25,118.65,133.04,76.48,82.9,83.59,91.24,111.53,118.16,128.58,51.34,86.97,121.57,87.12,105.63,114.38,141.56,76.24,86.89,111.37,125.54,75.11
ladyfr,3632904317,30,9936.41,216.73,253.4,458.04,402.22,372.74,285.11,269.39,295.16,359.26,463.03,460.46,260.73,285.43,281.08,336.04,336.21,422.95,394.17,253.11,266.33,326.14,332.77,304.54,308.66,403.9,262.79,302.13,354.9,302.78,366.21
Lao9-Video,4506950893,2,877.8,772.09,105.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lcjekx,4901678729,22,2020.1,81.87,87.72,,,75.73,59.67,79.67,85.01,67.96,,,105.11,109.75,67.76,86.03,93.75,,,142.38,90.72,122.31,111.45,67.47,,,68.83,130.64,91.98,95.48,98.81
lcwd,7627342766,30,360.86,3.48,13.02,2.63,3.46,28.72,13.08,21.86,5.11,0,23.74,4.53,9.38,28.56,6.09,5.89,7.64,0,4.12,32.78,4.16,25.31,7.09,27.1,8.59,9.56,2.99,5.91,26.09,16.18,13.79
lcyhtgc-wc-new-steel-12new,1297139368,20,4593.8,243.98,171.58,179.19,137.3,177.97,322.5,306.14,306.37,324.18,170.57,182.67,297.32,281.52,267.54,285.39,279.12,134.27,133.44,290.72,102.03,,,,,,,,,,
lczgl a,7801030974,30,6020.69,258.22,200.75,198.25,174.67,323.26,186.89,222.11,284.75,309.09,192.81,272.87,231.16,274.82,275.43,266.55,176.19,75.33,160.33,170.08,318.16,138.51,151.05,230.5,63.22,139.01,121.33,91.47,182.12,198.29,133.47
LDDTYXGS,3993979388,30,5342.79,160.24,135.02,112.42,190.31,127.44,193.86,198.04,163.71,195.95,166.49,221.59,135.41,189.14,231.29,216.58,176.11,183.49,154.83,157.34,243.73,198.35,214.57,118.05,300.98,88.57,145.8,162.3,190.77,199.54,170.87
LEEVANS13000-20190717,4125630358,12,350.71,,,,,,,,,,,,,,,,,,,0,18.88,46.2,46.5,35.57,28.79,33.28,19.01,46.71,24.03,35.19,16.55
lhssfs(sz)yxgs (li hua ssfs)弃,3748164331,4,4.85,4.53,0,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,
lhszy co.  old,3860354339,30,2870.95,56.73,120.4,40.22,22.08,130.04,156.75,54.88,75.91,142.68,42.72,49.25,75.35,82.61,90.31,69.69,54,42.96,195.46,56.05,143.13,135.83,124.97,116.96,67.26,75.9,89.45,256.07,98.91,106.21,98.17
lhszy co. new,3041194615,30,9208.13,300.88,275.35,224.13,213.56,432.58,451.73,357.59,393.1,311.21,253.68,359.5,358.76,364.32,405.87,347.04,311.2,252.7,291.47,341.7,363.13,271.86,307.32,238.29,300.98,215.05,281.15,330.05,268.48,220.61,164.84
liangshipan-所有品项-搜索,4039448723,15,802.37,,,,,,,,,,,,,,,,0,5.79,8.17,20.16,30,73.7,83.66,68.91,76.13,91.62,80.45,54.17,52.64,63.41,93.56
LIMEI03-消耗,4916490675,15,54251.21,,,,,,,,,,,,,,,,364.3,1058.63,2792.71,1912.43,1676.47,4324.88,652.53,1793.99,4817.79,5985.99,4949.08,5992.41,5975.98,5987.64,5966.38
lnhgxcl,4993993274,30,1805.84,41.63,45.34,42.18,27.5,80.4,63.64,87.23,44.37,73.66,59.4,27.36,52.63,78.02,74.48,78.78,38.57,51.98,45,70.59,81.87,82.27,59.34,86.33,75.47,38.63,76.36,43.02,62.51,47.24,70.04
lnht-dl-l2chiyuao-new,2043565690,30,1501.78,51.23,52.89,50.99,53.09,52.55,52.34,55.76,52.11,52.9,52.31,50.96,53.82,53.56,51.91,50.45,50.31,50.19,49.03,51.74,50.75,48.88,48.81,49.84,48.58,48.57,48.39,50.64,47.55,46.45,25.18
lnlong0609@sina.com,3317032688,27,1704.18,,,,87.88,256.29,262.99,265.29,126.54,131.64,28.76,10.79,4.04,6.15,5.88,13.49,13.2,22.62,18.43,25.45,11.29,29.27,21.22,17.89,24.82,18.13,30.11,19.59,24.48,87.39,140.55
lnwl-new-waterjet-l1,4360901698,19,6320.26,270.06,269.69,,,190.45,,,,279.08,,,451.81,359.55,334.33,544.68,266.76,,,293.47,399.15,350.97,360.95,311.96,,,339.89,363.79,306.92,264.12,362.63
lnycsh,3147095986,30,4558.85,152.47,152.04,161.27,154.25,156.54,166.47,159,152.84,153.68,153.95,150.26,156.8,159.39,155.61,153.67,148.35,150.34,148.48,154.84,153.28,152.73,149.15,148.63,145.64,147.45,142.78,150.11,149.01,144.6,135.22
lsty,4605995451,30,15108.47,576.34,467.86,465.12,455.71,496.45,497.75,558.02,597.82,454.93,423.14,448.7,527.67,501.66,503.05,504.21,495.3,476.04,468.98,492.23,532.26,576.9,576.43,591.47,514.16,431.36,515.99,526.42,504.91,479.09,448.5
Lunamis.com,3351455380,30,13313.32,74.63,56.96,46.46,57.07,94.07,77.43,187.29,172.33,176.16,154.66,158.04,429.96,464.96,470.95,429.74,414.72,382.75,406.11,355.38,393.96,522.06,356.96,341.64,349.51,728.7,917.56,958.72,1693.03,1611.99,829.52
lyhy kf,4894757532,30,1659.92,81.56,76.86,24.98,60.79,53.16,45.6,65.91,34.29,20.36,15.22,33.14,105.35,69.41,30.14,85.52,41.14,25.05,56.81,59.67,85.57,89.9,48.99,77.34,17.04,39.61,140.6,42.07,30.15,51.05,52.64
lylaibo new,2877590276,20,3673.32,155.19,133.77,,,139.7,177.89,174.19,253.24,216.48,,,165.28,163.2,191.54,272.33,210.74,,,201.45,215.66,216.43,244.1,176.42,,,129.87,195.8,40.04,,
lyly,3366980013,30,306.38,12.39,11.04,10.38,10.3,11.36,10.76,12.42,13.63,10.47,9.88,10.05,11.96,10.43,11.15,9.85,10.05,10.7,9.31,12.64,10.55,10.37,11.21,8.06,10.02,8.82,8.88,9.61,7.24,6.2,6.65
lyssbzy,7677974588,30,3045.45,106.86,108.75,101.77,105.31,104.73,109.28,103.22,105.64,100.06,101.24,104.81,106.21,107.33,103.79,104.94,98.76,103.17,102.27,103.43,106.9,99.72,96,95.3,95.79,95.94,97.84,104.93,92.95,94.52,83.99
LYxy-金属制品,1773700600,30,270.6,15.72,3.49,9.73,10.58,7.29,0,24.54,0,5.38,1.51,0,4.74,10.09,7.71,0.85,19.52,6.99,3.27,12.45,17.7,12.35,22.27,0,0,19.58,21.31,20.24,3.18,6.22,3.89
lzbl,4197842182,30,3640.82,147.57,71.52,61.27,70.52,120.49,220.15,118.09,148.59,100.87,36.31,127.88,50.24,118.23,129.49,182.38,139.27,124.45,53.53,81.54,169.58,153.36,124.15,169.1,96.27,104.79,121.61,168.66,117.34,251.19,62.38
lzljfm,3843591154,5,697.05,,,,,,,,,,,,,,,,,,,,,,,,,,138.01,182.51,166.03,121.5,89
lzswy,8483659368,30,4093.47,196.6,126.77,108.22,45.42,147.3,163.45,160.94,182.48,136.08,247.86,112.62,161.33,147.5,155.52,126.37,153.06,96.89,116.15,108.16,163.44,148.34,138.9,236.87,113.21,77.36,115.33,101.24,109.75,117.78,78.53
mandy-sa-品牌项目-核心类目,7928124747,30,13048.84,207.34,278.15,268.91,309.82,397.99,445.94,422.75,369.4,374.06,450.49,502.91,460.62,415.03,391.82,459.62,438.27,445.53,386.06,352.67,364.51,425.07,409.72,498.17,506.09,630.73,642.1,690.52,636.41,548.58,319.56
mandy-sa-品牌项目-竞品词,5746711425,30,2324.64,44.61,55.98,62.71,71.35,87.7,70.13,55.58,31.9,56.83,55.75,73.81,72.52,63.65,42.07,50.6,82.26,90.55,104.02,95.96,98.9,102.39,87.71,92.1,91.54,105.5,86.09,79.94,57.85,116.05,138.59
mandy-品牌项目,8853525752,30,63790.81,1166.64,982.27,995.17,1063.91,1053.69,1032.66,1284.59,3221.16,4746.17,2916.17,4384.95,4422.67,4375.32,4381.27,4374.7,4915.71,4800.17,4683.57,4852.67,1248.29,619.96,187.99,242.52,298.86,332.63,267.53,214.02,222.6,251.35,251.6
manomano-养号-1-0429 补单100封,9020116450,2,59.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.35,29.63
manomano-养号-2-0429,9058606460,2,59.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.01,25.73
manomano-养号-3-0429 封,8435717986,2,61.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.41,29.8
manomano-养号-4-0429 补单1000不可用,5617975909,2,59.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.64,27.18
manomano-养号-5-0429,3349944001,2,59.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.08,26.58
Marriott-1-0427  F,7902643635,2,192.21,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8,90.41,,
Marriott-养号-2-0426 补不可用,3717024272,4,116.71,,,,,,,,,,,,,,,,,,,,,,,,,,,30.66,30.78,29.78,25.49
Maurices--1  F,1593745066,2,102.18,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13,51.05,,
Maurices-养号-1-0429 封,9423868152,2,59.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.69,29.24
Maurices-养号-2-0429不可用,8871625394,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.21,23.79
Maurices-养号-3-0429 补单1000不可用,2659334860,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62,28.38
Maurices-养号-4-0429不可用,7325718097,2,57.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,25.02
micet kf,3203183695,30,8394.87,183.64,308.07,296.35,195.74,294.7,200.11,297.17,239.44,260.17,256.32,245.45,331.47,336.12,302.47,272.1,202.41,181.14,204.4,330.39,232.49,380.69,332.11,234.1,430.92,363.8,340.52,317.38,280.7,260.7,283.8
mikieye,9593136638,1,102.27,,,,,,,,,,,,,,,,,,,,,,,,,102.27,,,,,
millionairematch,9579435937,2,53.29,,,,,,,,,,,,,,,,,,,,53.29,0,,,,,,,,,
Minew,7846283772,30,12234.98,425.72,340.94,211.42,207.84,298.77,408.85,521.27,448.7,402.42,257.36,221.21,440.53,556.19,393.21,545.6,486.83,228.12,200.64,450.33,568.6,589.21,557.14,544,340.69,249.68,436.65,512.96,467.94,481.39,440.77
Minew Tag,1341022737,30,14421.32,231.85,303.99,248.41,323.56,443.18,567.21,546.91,604.73,360.11,285.84,220.67,491.54,568.99,608.39,636.64,576.26,327.82,325.41,579.07,641.99,595.12,721.7,590.48,334.58,222.53,555.18,617.01,677.49,593.23,621.43
mira-0122,9574412341,19,1969.51,150.52,148.28,132.82,131.09,110.72,79.73,,,,,,129.07,170.77,39.47,,,,,77.75,110.1,121.42,49.74,120.17,113.17,94.36,76.29,114.04,0,,
mshb,1586364001,19,2210.31,124.35,92.36,35.27,48.24,71.59,119.65,287.35,154.47,146.21,51.25,51.9,222.01,129.98,161.47,157.27,115.68,90.66,79.31,71.29,,,,,,,,,,,
MTLJX,7041744150,13,2031,157.75,142.63,131.46,126.77,178.22,180.05,191.53,147.19,155.36,150.34,123.14,177.36,169.2,,,,,,,,,,,,,,,,,
M-自强机械,2016623693,29,10023.85,362.24,378.86,345.37,349.24,350.28,366.89,352.27,359.23,346.22,254.09,,531.88,404.53,390.94,341.8,355.5,335.2,322.74,351.51,362.31,342.32,332.89,319.51,338.7,312.38,328.7,352.04,318.36,276.22,241.63
Nairedd量具,2156660109,15,462.02,24.38,11,85.36,11.35,25.59,37.63,39.47,47.64,38.13,30.22,13.53,34.78,32.55,22.58,7.81,,,,,,,,,,,,,,,
nancy-所有品项-cdm-国家,4208248216,30,3689.64,150.14,158.01,159.48,137.44,125.21,127.82,126.01,120.85,120.3,114.78,107.95,98.49,101.8,96.39,93.17,97.19,87.35,91.79,84.65,90.89,88.52,107.46,111,108.53,137.33,138.13,141.93,193.54,183.93,189.56
nancy-所有品项-SDS-1,5437065820,30,17057.64,539.83,540.71,540.73,539.25,557.07,419.69,412.06,417.38,465.9,448.94,492.24,584.02,606.65,518.19,547.76,613.29,572.06,578.49,638.55,515.82,566.49,653.54,526.44,570.76,660.93,719.46,674.37,690.88,720.36,725.78
nancy-所有品项-SDS-2,9942047878,30,13162.68,359.15,355.53,355.31,355.08,369.06,307.52,309.72,306.13,299.53,300.96,302.37,314.73,311.73,309.44,443.58,434.4,429.75,438.88,531.25,524.74,593.68,587.12,579.54,579.16,578.77,602.44,593.53,614.53,547.78,527.27
nancy-所有品项-SDS-3,5433637260,30,11370.17,287.94,290.03,444.48,455.81,484.47,426.65,358.42,407.32,411.32,358.75,355.6,356.25,343.42,435.38,365.6,400.4,332.38,425.33,330.51,320.67,285.97,284.18,367.33,421.02,484.97,446.58,355.08,368.72,371.42,394.17
nancy-所有品项-SDS-4,7860452313,30,76118.6,2184.61,2560.64,3061.58,3116.85,3197.91,2712.75,2741.19,2277.52,2481.81,2305.71,2301.9,2277.12,2248.12,1932.81,2232.78,1975.22,2051.55,2354.1,2309.87,2382.49,2215.46,2749.46,3177.61,2868.17,3041.12,3023.42,2828.26,2770.15,2478.75,2259.67
nancy-所有品项-中东区域-10.16,4677027709,30,4889.67,195.24,169.35,207.78,203.57,207.8,198.98,178.85,156.85,171.86,174.79,142.78,125.94,130.37,132.58,136.03,135.14,140.96,136.6,126.76,171.82,152.89,142.62,156.9,175.64,132.53,169.32,202.49,175.51,165.01,172.71
Nature.com | CN | RM | JRCN | Jessie Guo,5327970368,30,60003.6,2065.56,1824.99,1658.11,1604.57,1849.07,2338.41,2232.75,2019.37,2275.84,2023.6,1785.12,2190.63,1787.67,2129.62,2142.57,2051.21,1687.13,1699.4,2200.82,2190.75,2208.12,2034.86,2011.33,1629.47,2001.76,2378.52,2376.64,2062.86,2113.52,1429.33
ndwytcdzswyxgs(ni de),5654694650,3,99.7,,,,,,,18.94,,,,,,,,,,75.44,,,,,5.32,,,,,,,,
New-jnbf,2608989607,21,2484.77,110.97,101.34,,,,92.01,87.14,117.74,130.69,,,125.9,110.52,138.82,130.07,106.99,,,135.46,151.37,126.89,125.27,150.99,,,126.11,121.17,122.54,113.16,59.62
NEW-jnjfkm,9396744584,30,4806.55,209.88,198.91,93.58,73.61,212.26,220.06,187.61,209.55,187.91,110.04,88.74,217.05,188.3,180.33,196.4,169.11,75.8,88.14,194.41,202.01,187.07,183.27,162,67.69,67.32,173.6,185.01,166.17,169.1,141.62
New-jnxdgdff,1937137498,30,1922.67,53.67,15.86,27.06,11.14,55.8,65.7,79.88,111.42,50.55,48.43,62,41.12,39.94,125.9,58.93,54.5,25.68,43.54,88.02,132.76,129.56,91.64,75.32,34.96,35.7,92.67,65.59,74.14,77.29,53.9
NEW-lqnrzc,7507116764,20,3425.34,184.53,162.01,167.81,189.84,193.91,183.64,180.48,216.79,204.08,196.98,168.44,201.43,179.87,199.65,194.68,172.42,163.23,168.34,7.59,,,,,,,,,,,89.62
New-qdabtk,6647752093,30,2019.72,96.08,52.1,26.78,35.78,76.65,55.62,53.17,100.78,32.18,27.33,45.78,63.25,108.27,54.54,116.04,90.5,52.97,17.16,135.4,93.41,73.05,68.47,91.34,44.36,40.68,86.51,87.13,67.22,65.63,61.54
New-qdjtbl,9491774242,30,2692.27,80.18,92.11,101.94,77.23,89.37,97.85,112.03,106.79,109.09,92.51,87.96,119.41,109.14,91.28,111.63,99.69,69.57,80.79,83.42,95.12,80.55,92.56,99.31,77.76,70.66,78.57,83.1,75.35,68.19,59.11
New-qdjtsw,5434874174,30,694.98,36.35,21.6,17.28,2.3,42.13,47.3,25.54,31.76,14.16,0,6.91,20.41,31.34,25.79,39.06,30.59,19.16,10.62,10.97,26.51,24.94,22.2,23.44,2.73,19.94,40.66,47.22,22.7,13.03,18.34
NEW-qdphzg,9436437525,30,4482.7,187.45,132.21,116.78,49.96,196.62,201.96,186.43,219.1,157.6,202.26,79.35,150.74,177.27,166.28,188.85,195.85,101.25,21.8,211.05,183.43,100.32,216.5,155.62,155.58,37.39,119.53,159.77,157.17,192.62,61.96
New-qdrfhb-环保,4898104962,10,498.2,90.63,99.43,91.1,74.77,96.87,45.4,,0,0,,,,,,0,,,,,,,,,,,,,,0,
New-qdtrts-素,4783573078,30,5742.84,210.93,193.71,154.86,122.59,190.33,209.78,253.07,194.98,222.6,197.17,203.62,269.34,203.79,195.02,154.23,201.51,148.48,164.62,221.83,171.17,203.03,227.29,169.48,136.65,141.55,208.24,212.48,150.3,277.32,132.87
New-qdwrsl,3682721891,30,3829.12,133.88,125.93,118.55,123.36,125.27,132.56,155.97,152.52,137.06,131.65,124.43,136.61,157.51,116.17,120.79,120.06,111.18,137.81,136.7,144.58,126.87,128.73,125.6,114.46,108.51,118,141.15,121.14,109.72,92.35
NEW-qdxcdjx,3879412468,22,2720.36,84.46,58.59,,,92.67,166,191.27,114.61,150.14,,,128.31,148.12,153.78,88.42,145.25,,,106.6,104.97,110.78,108.49,158.28,,,99.71,174.99,120.79,120.34,93.79
New-qdyz,3855543931,15,294.89,27.91,7,,,20.19,6.74,47.03,72.52,20.71,,,47.79,18.09,0,0,,,,6.79,0.3,,,,,,,,,0,19.82
New-qdztwl,6725057435,29,1217.2,42.57,46.8,44.91,39.66,42.29,51.44,41.64,46.17,45.72,41.84,43.43,40.24,41.04,42.77,40.85,40.5,6.98,0,,81.47,78.41,41.94,40.84,41.97,40.26,42.89,43.94,39.29,40.69,26.65
New-sdandz,3434136952,22,4538.46,228.8,132.16,,,177.7,223.4,250.25,250.61,213.83,,,232.61,242.53,217.99,194.6,218.69,,,209.59,187.92,164.9,222.63,128.94,,,223.55,204.17,209.56,235.86,168.17
New-sdgyzc,8857026678,30,2131.05,49.68,80.93,54.95,100.95,83.62,80.69,68.32,98.84,88.47,80.51,11.94,102.64,97,53.75,42.03,64.13,103.9,27.79,56.32,35.3,95.3,68.42,114.14,26.96,64.62,122.61,38.74,71.83,74.57,72.1
NEW-sdjbjck,7649932672,22,2079.67,143.7,75.1,,,116.81,168.43,85.52,120.53,72.31,,,115.54,117.58,62.23,89.27,75.83,,,119.23,111.48,102.94,88.02,74.79,,,66.91,95.01,17.59,107.92,52.93
New-tmtg,3093787849,21,3720.46,197.74,195.04,,,230.65,179.46,224.78,191.06,208.66,,,171.61,166.43,173.24,179.06,175.6,,,199.06,177.37,186.76,190.85,163.15,,,147.94,186.92,167.09,7.99,
New-wfdc工艺品,2070294962,30,458.6,68.49,18.86,28.94,25.79,21.57,35.2,16.99,15.98,14.8,5.97,9.9,14.23,31.41,5.1,16.07,22.5,6.27,0.92,0,0,5.66,13.31,0,7.86,0,1.11,9.02,8.12,42.77,11.76
New-why,4018726437,25,9726.51,359.94,391.58,369.3,,450.89,409.81,435.84,413.94,385.82,72.64,,370.6,449.17,371.1,482.3,324.05,367.41,,505.24,439.22,398.23,402.51,225.68,,,30.22,648.7,630.54,463.93,327.85
New-zchljm,2756081033,1,289.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.61
New-康沃,7267232205,30,1823.13,67.91,62.6,65.12,62.69,65.97,65.88,65.72,62.34,62.45,63.46,62.33,63.32,64.52,64.83,62.4,58.02,59.5,58.76,58.96,61.18,59.15,58.54,59.77,60.38,55.49,60.37,57.19,56.39,54.75,43.14
NEW-李德瑜,6963596205,22,1005.12,51.31,29.61,,,35.55,39.76,63.56,57.76,39.85,,,40.39,65.33,43.09,62.73,49.99,,,34.78,47.48,51.68,52.97,40.43,,,23.9,53.13,51.27,35.3,35.25
New-山东利兴化工,3774925800,30,2444.87,120.31,45.27,54.86,11.85,70.74,96.05,166.48,94.05,121.14,50.58,5.85,68.8,100.99,80.89,168.31,92.59,33.93,41.32,116.39,124.16,75.01,112.06,92.39,40.66,19.88,111.92,76.79,64.46,81.07,106.07
New-泰安汉恩斯机械有限公司,5691205346,30,4599.73,140.61,104.09,132.72,147.05,89.08,182.98,160.61,184.91,191.84,126.57,171.9,154.55,135.59,137.29,152.73,181.73,162.37,205.55,169.39,170.62,204,161.28,160.01,115.24,151.44,120.07,162.6,148.49,156.85,117.57
ngwd,5842190323,23,1422.35,64.13,71.52,82.67,55.23,46.96,76.89,153.45,50.06,52.02,25.85,46.56,43.69,82.03,54.86,82.78,,,,,,,,19.98,55.85,0,27.05,107.74,71.31,88.71,63.01
NICE-NEW,2077028362,30,14065.67,567.23,490.39,496.86,482.84,446.92,516.41,505.57,584.04,523.92,395.93,564.69,644.08,412.08,334.04,338.83,577.29,447.85,449.99,441.84,414.57,449.48,518.21,509.42,343.19,389.54,404.17,478.84,464.72,511.55,361.18
NJCFSWKJYSGS(CFSW),7429317701,19,1376.98,53.97,29.97,54.16,49.21,120.08,52.23,2.8,22.45,49.8,,,80.37,60.16,81.39,54.14,150.3,,,139.41,106.36,108.16,105.29,56.73,,,,,,,
NJFNKJYXGS(funuo),4659763799,30,4290.1,217.68,111.13,103.69,145.91,294.72,277.05,155.63,221.55,164.47,138.08,145.57,177.22,178.52,175.13,167.64,190.8,46.25,62.91,152.58,117.46,106.22,98.68,118.64,39.88,50.41,178.75,117.92,134.35,127.11,74.15
njglgmyxgs(gu lin),8370030584,19,828.38,,,,,,,,,,,,23.58,36.48,58.31,69.9,33.57,36.17,41.82,49.65,37.18,42.01,45.13,50.62,31.83,38.05,51.5,60.69,55.66,43.3,22.93
NJHSFHCLKJYXGS,4416050323,30,909.89,30.21,29.66,20,10.2,32.28,20.65,49.77,45.06,20.15,32.69,29.72,30.31,29.15,39.34,44.63,50.77,20.12,30.26,28.24,27.94,40.04,39.17,19.26,24.55,20.11,39.59,39.71,17.3,29.69,19.32
NJJHCCSBYXGS(jin hui),8245864999,30,5415.01,184.33,123.12,115.81,148.59,118.72,236.68,292.75,375.21,125.52,74.14,157.89,261.82,221.14,307.87,154.98,90.74,53.01,168.79,202.43,314,228.23,156.53,197.58,146.44,129.09,166.47,122.02,156.71,183.63,200.77
NJJSNNYSPYSGS,5520357900,30,604.31,0,21.34,0,35.94,13.86,12.49,14.98,58.21,10.1,0,4.98,12.49,19.94,47.19,10.97,25.01,34.18,16.84,21.8,9.77,60.83,35.23,0,23.91,33.29,0,17.58,18.69,7.22,37.47
NJJSSMYYXGS,9653161784,30,3152.85,111.36,74.34,42.87,95,113.08,116.27,128.67,137.41,96,89.79,117.4,81.22,121.69,123.3,123.69,78.37,89.54,72.13,119.92,173.64,88.25,170.62,115.07,98.7,50.08,95.51,105.93,111.31,116.28,95.41
NJJYJXYXZRGS,1424619823,30,994,27.56,23.58,39.66,14.85,48.96,38.28,66.07,42.38,14.73,37.4,22.56,38.77,28.02,18,27.79,38.43,27.28,38.13,40.81,28.56,8.78,19.04,53.8,16.9,65.06,22.29,29.15,43.93,53.87,19.36
NJKHJCKMYYXGS(kai hong),1770958035,30,7430.28,248.53,183.4,143.39,232.87,198.13,263.22,263.98,235.2,223.83,206.36,197.04,227.69,233.3,224.09,219.37,185.26,198.65,169.56,176.78,176.13,318.96,323.19,308.31,278.56,276.95,308.06,287.82,378.4,415.42,327.83
njLDJD kjyxgs,3901394360,6,848.46,,,,,,,130.5,159.64,159.39,159.19,147.8,91.94,,,,,,,,,,,,,,,,,,
njmh,6734948592,30,7258.89,297.46,291.12,275.76,242.57,281.92,388.42,321.72,347.04,240.49,178.18,173.64,261.96,320.57,213.61,243.96,183.95,131.96,163.49,212.93,313.75,258.44,220.94,185.66,237.55,151.33,198.55,303.77,249.06,251.43,117.66
NJPGSYLSBYXGS（PGS）,7078605619,30,8433.52,332.07,205.31,332.59,230.5,373.99,354.08,303.59,346.21,272.74,212.46,106.76,254.12,391.7,256.07,283.29,245.76,237.63,216.1,316.41,262.12,270.93,313.5,285.57,173.87,249.42,322.76,322.52,404.83,362.86,193.76
NJSMNKJKFYXGS,1686591572,30,4559.72,155.31,153.41,151.93,151.89,159.8,157.21,161.28,153.3,153.88,152.53,152.01,157.4,155.55,158.24,155.56,151.71,154.98,153.08,157.12,153.97,150.86,149.09,151.78,147.76,143.71,151.58,145.42,149.94,140.07,129.35
NJSSTTXCPYXGS,4034865735,30,1518.96,49.7,2.52,28.5,18.36,44.38,43.59,99.94,92.84,83.01,42.65,19.96,92.94,63.1,62.25,56.38,57.28,56.2,34.25,53.92,51.73,48.92,48.22,47.63,43.67,23.27,58.87,53.46,53.08,48.87,39.47
njtyhgxclyxgs,9311724623,30,2315.92,89.63,71.55,41.7,62.57,70.89,131.37,109.67,103.09,77.72,86.66,7.83,103.16,97.18,89.25,78.96,62.53,70.87,79.79,81,86.24,82.87,89.38,50.42,46.58,71.38,81.36,70.09,77.97,78.14,66.07
nolan-broad-希腊,4272179945,30,15983.7,667.24,663.45,759.86,704.09,717.09,654.96,518.8,513,496.91,495.69,518.22,454.5,510.86,508.62,522.83,659.06,508.97,487.59,632.22,577.08,585.83,516.65,415.48,420.37,457,462.69,405.43,387.05,383.52,378.64
nolan-所有品项-sdsrm-cart-平板-英国,9339999805,25,1009.21,25.3,21.49,18.27,22.51,24.66,10.68,3.9,18.31,16.59,20.02,14.14,4.82,,,21.49,98.08,104.25,81.96,92.51,88.27,59.08,34.57,57.85,52.36,64.62,47.08,6.4,,,
nolan-所有品项-sdsrm-电子-a,9775747391,14,301.86,,,,,,,,0,45.01,53.63,38.74,28.17,30.13,23.11,20.65,12.68,9.08,10.03,10.1,12.07,8.46,,,,,,,,,
NTADWHGYXGS,1703310844,30,3043.42,112.74,113.38,104.46,108.5,108.07,111.7,108.7,98.21,98.93,104.81,91.1,103.26,116.76,114.3,101.02,104.22,101.95,105.62,90.26,93.98,93.46,106.35,99.25,64.05,105.88,101.16,100.59,97.02,83.14,100.55
NTBYZLSBYXGS(bai yuan),7936075733,30,2960.56,121.66,54.31,33.71,69.3,179.65,142.48,145.98,118.92,98.4,47.22,29.34,123.23,112.45,38.26,138.26,80.29,81.51,135.26,171.23,117.49,124.59,89.23,81.07,60.79,32.53,31.15,96.94,164.02,153.57,87.72
NTCLGJYXGS,4334891176,30,6387.14,241.31,241.91,241.79,230.35,238.32,231.9,216.99,214.23,213.12,212.77,215.58,221.12,222.1,212.44,213.68,211.04,201.39,212.49,213.77,212.94,222.29,206.05,198.2,197.37,196.2,198.05,198.23,198.2,184.91,168.4
